image,link,measure,name,old_price,price,sale
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77030_1_398721_637983405795127043.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/biologisch-zuivel-kaas/bio-biologische-houdbare-volle-melk/44838,1 liter,Bio+ Biologische houdbare volle melk,,1.55,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/69148_1_405231_638052409002238742.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla-biologische-volle-yoghurt/53017,1 liter,Arla Biologische volle yoghurt,,2.02,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77239_1_413202_637828694242941975.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio-biologische-rijstdrink-ongezoet-plantaardig/61942,1 liter,Bio+ Biologische rijstdrink ongezoet plantaardig,,1.38,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87241_1_409550_638001090145529124.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla-biologische-volle-melk/58248,"1,5 liter",Arla Biologische volle melk,,2.79,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87231_1_380236_638052390855362840.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla-biologische-milde-yoghurt-halfvol/24345,1 liter,Arla Biologische milde yoghurt halfvol,,1.83,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87229_1_377541_638052390840141499.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla-biologische-volle-melk/23615,1 liter,Arla Biologische volle melk,,1.39,Actie
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87228_1_377539_638052390833902934.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla-biologische-karnemelk/23614,1 liter,Arla Biologische karnemelk,,1.67,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77165_1_377543_638052408754221004.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla-biologische-magere-yoghurt/23617,1 liter,Arla Biologische magere yoghurt,,1.78,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/77167_1_396844_638001090097255207.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla-biologische-halfvolle-melk/43567,"1,5 liter",Arla Biologische halfvolle melk,,2.79,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/87230_1_377542_638052390846367322.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla-biologische-halfvolle-melk/23616,1 liter,Arla Biologische halfvolle melk,,1.39,Actie
https://d3r3h30p75xj6a.cloudfront.net/artikelen/1782_1_245765_637170156864865108.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/wester-rietsuiker/3449,750 g,Wester Rietsuiker,,1.69,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/13295_1_363637_637321563070661259.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/voogd-thuisbakmix-speltbrood-meergranen/10290,1 kg,Voogd Thuisbakmix speltbrood meergranen,,2.87,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/13289_1_124168_637321563062586518.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/voogd-thuisbakmix-meergranen-zadenbrood/509,1 kg,Voogd Thuisbakmix meergranen/zadenbrood,,1.58,
https://d3r3h30p75xj6a.cloudfront.net/artikelen/13290_1_124169_637321554147480298.png?width=500&height=500&mode=crop,https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/voogd-thuisbakmix-zonnebrood/510,1 kg,Voogd Thuisbakmix zonnebrood,,1.89,
